ID,Gender,Bmonth,Byear,Grade,School,Confidence,Heard_sustain,Heard_earthweek,Heard_greenthumb,Heard_bike,Heard_conference,Heard_recycle,Heard_buddies,Part_sustain,Part_earthweek,Part_greenthumb,Part_bike,Part_conference,Part_recycle,Part_buddies,Effective,More_activities,Attendance,Collaborate,Member,Office_space,Increase_rate,Work_sustain,Leadership,Manage_funds,Investigate,Solutions,Brainstorm,Comments
254747,Female,8,1997,Third-year,SAM,Neutral,Sustainability Week,,,Bike Co-op,,,,0,0,0,0,0,0,0,,,5,5,3,No preference,$11-$20,yes,1,1,3,4,5,
254748,Female,4,1992,First-year ,SAM,Confident,,Earth Week,Green Thumb,,,,,0,0,0,0,0,0,0,,,1,3,1,No preference,Not willing at all,no,,,,,,
254749,Female,10,1990,Second-year,HSE SCS,Neutral,,,Green Thumb,Bike Co-op,,,,0,0,0,0,0,0,0,Ineffective,,3,3,4,Physical Office,$1-$10,no,,,,,,
254750,Female,5,1996,Third-year,SAL,Confident,Sustainability Week,Earth Week,Green Thumb,Bike Co-op,,,,0,0,0,0,0,0,0,Ineffective,,2,2,2,Physical Office,Not willing at all,no,,,,,,
254751,Female,7,1997,First-year ,SAM,Confident,,,Green Thumb,,ENVS Conference,,,0,0,1,0,0,0,0,Ineffective,"Gardens, recycling, solar panels , energy efficient appliances",4,5,4,Physical Office,$1-$10,yes,4,4,4,5,5,
254752,Female,6,1995,First-year ,HSE,Slightly Confident,,,,Bike Co-op,,,,0,0,0,0,0,0,0,,,3,3,3,No preference,Not willing at all,no,,,,,,
254753,Female,7,1995,First-year ,HSE,Confident,Sustainability Week,Earth Week,,Bike Co-op,,,,0,0,0,0,0,0,0,,,2,3,4,No preference,$1-$10,yes,4,4,2,3,4,
254754,Male,1,1992,Fourth-year,SCS,Confident,Sustainability Week,,Green Thumb,,,,,0,0,0,1,0,0,0,Neutral,,3,4,4,Physical Office,anything above $30,yes,4,2,4,4,4,
254756,Female,5,1996,Fourth-year,SCS,Neutral,,,Green Thumb,Bike Co-op,,,,0,0,0,0,0,0,0,,,2,3,1,No preference,Not willing at all,no,,,,,,
254757,Female,5,1996,Fourth-year,SAM,Confident,Sustainability Week,,,Bike Co-op,,,,0,0,0,0,0,0,0,,,1,1,1,No preference,$1-$10,no,,,,,,
254758,Female,8,1996,First-year ,SCS,Confident,Sustainability Week,,Green Thumb,Bike Co-op,,,,0,0,0,0,0,0,0,,,3,3,3,Physical Office,$11-$20,no,,,,,,
254760,Male,6,1997,Third-year,SAM,Neutral,,,,Bike Co-op,,,,0,0,0,0,0,0,0,Neutrale,,5,5,5,Physical Office,$11-$20,yes,5,5,5,5,5,
254761,Female,10,1996,Second-year,SAM,Confident,Sustainability Week,Earth Week,Green Thumb,Bike Co-op,,,,1,1,0,0,0,0,0,Neutral,,4,5,5,Physical Office,anything above $30,yes,5,3,4,5,5,
254762,Male,,,Fourth-year,SAM,Confident,,Earth Week,,Bike Co-op,,,,0,0,0,0,0,0,0,,,3,3,3,No preference,$11-$20,no,,,,,,
254763,Female,10,1996,Third-year,HSE SCS,Confident,Sustainability Week,Earth Week,,,,,,0,0,0,0,0,0,0,Neutrale,n/a,4,4,4,Online Office,$1-$10,yes,4,4,2,4,3,
254765,Female,5,1997,Second-year,BUS,Confident,Sustainability Week,Earth Week,Green Thumb,Bike Co-op,,,,1,0,0,1,0,0,0,Effective,,3,4,2,No preference,$1-$10,no,,,,,,
254766,Female,9,1992,First-year ,SAM,Confident,Sustainability Week,Earth Week,,,,,,0,0,0,0,0,0,0,,,4,5,5,No preference,$11-$20,yes,4,3,4,4,5,
254767,Female,3,1996,Second-year,SAM,Confident,Sustainability Week,Earth Week,Green Thumb,Bike Co-op,ENVS Conference,,,1,1,0,1,0,0,0,Neutrale,,4,5,3,No preference,$1-$10,no,,,,,,
254768,Other/ prefer not to say,11,1994,Second-year,SCS SAL,Neutral,Sustainability Week,Earth Week,Green Thumb,Bike Co-op,,,,0,0,0,0,0,0,0,,,2,3,2,No preference,$21-$30,no,,,,,,
254769,Female,6,1994,Second-year,SAL,Confident,Sustainability Week,Earth Week,Green Thumb,Bike Co-op,,,,0,0,0,0,0,0,0,,,2,4,3,No preference,Not willing at all,no,,,,,,
254771,Female,5,1992,Third-year,SAM,Confident,Sustainability Week,Earth Week,Green Thumb,Bike Co-op,,,,1,1,0,0,0,0,0,Effective,"More fairs for sustainability with projects (small and large) such as making our own shampoo, or giving out free seeds",3,3,2,No preference,$11-$20,no,,,,,,
254772,Male,10,1995,Third-year,SAM,Neutral,,,,Bike Co-op,ENVS Conference,,,0,0,0,0,0,0,0,,,2,3,1,Physical Office,$1-$10,no,,,,,,
254773,Female,6,1993,Third-year,SAL,Confident,Sustainability Week,Earth Week,,Bike Co-op,,,,0,1,0,0,0,0,0,Neutral,Quick little info tables,2,3,2,No preference,$11-$20,no,,,,,,
254775,Female,8,1993,Third-year,SAM,Confident,Sustainability Week,,Green Thumb,Bike Co-op,,,,0,0,0,0,0,0,0,Neutral,,1,1,1,No preference,Not willing at all,no,,,,,,"I think sustainability is important, but as I am graduating this spring I answered I would not be willing to participate in a lot of the activities."
254776,Female,8,1993,Fourth-year,BUS,Extremely Confident,,Earth Week,Green Thumb,Bike Co-op,,Recyclemania,,0,0,0,0,0,0,0,,,3,3,4,No preference,Not willing at all,no,,,,,,
254777,Female,2,1996,Fourth-year,HSE,Neutral,Sustainability Week,Earth Week,Green Thumb,Bike Co-op,,,,0,0,1,0,0,0,0,Effective,,2,3,2,Physical Office,$1-$10,no,,,,,,
254782,Female,3,1994,Third-year,BUS,Neutral,,Earth Week,Green Thumb,Bike Co-op,,,,0,1,0,0,0,0,0,Effective,,3,3,3,Physical Office,Not willing at all,no,,,,,,
254785,Female,7,1995,First-year ,SAM SAL,Confident,,,,Bike Co-op,ENVS Conference,,,0,0,0,0,0,0,0,Neutral,,3,5,5,Physical Office,$11-$20,yes,4,2,5,5,5,
254786,Male,8,1994,First-year ,HSE SAM,Confident,Sustainability Week,Earth Week,,Bike Co-op,,,,0,0,0,0,0,0,0,Completely Ineffective,,4,5,3,Online Office,$11-$20,yes,3,4,3,3,3,
254787,Male,8,1996,Second-year,BUS,Confident,Sustainability Week,Earth Week,Green Thumb,Bike Co-op,ENVS Conference,Recyclemania,,1,1,1,1,0,1,0,Effective,"Biking, community project",4,4,3,Online Office,$1-$10,no,,,,,,
254788,Male,11,1995,Fourth-year,SAL,Confident,Sustainability Week,,,Bike Co-op,,,,0,0,0,0,0,0,0,Neutrale,,1,1,1,No preference,Not willing at all,no,,,,,,
254794,Female,1,1996,First-year ,SAL,Not Confident at All,,Earth Week,,,,,,0,0,0,0,0,0,0,,,1,1,1,No preference,Not willing at all,no,,,,,,"I don't know that I've ever really heard about sustainability, so I can't say much at all about it"
254795,Female,4,1993,Second-year,HSE BUS,Neutral,,,Green Thumb,Bike Co-op,,,,0,0,0,0,0,0,0,Completely Ineffective,,1,3,1,No preference,Not willing at all,no,,,,,,
254796,Female,8,1996,Fourth-year,HSE,Extremely Confident,Sustainability Week,Earth Week,Green Thumb,Bike Co-op,ENVS Conference,,,1,0,1,1,0,0,0,Effective,Regular tips or workshops on how to practice sustainability in the context of being a college student.,2,5,5,Physical Office,$1-$10,yes,4,1,4,4,5,
254797,Female,1,1995,Third-year,SCS,Slightly Confident,,,Green Thumb,Bike Co-op,,,,0,0,0,0,0,0,0,Neutrale,I don't know.,3,3,4,Physical Office,$1-$10,yes,1,1,1,3,4,
254799,Female,9,1997,Second-year,SAM,Confident,,,,Bike Co-op,,,,0,0,0,0,0,0,0,,awareness activities,2,4,3,Physical Office,$1-$10,yes,2,3,4,4,4,
254800,Female,1,1995,Third-year,SAM,Confident,Sustainability Week,,,Bike Co-op,ENVS Conference,,,0,0,0,0,0,0,0,Neutrale,a campus-wide lights off day,5,5,5,Online Office,$21-$30,yes,5,4,5,5,5,
254801,Male,8,1995,First-year ,SAM,Confident,,,,Bike Co-op,,,,0,0,0,0,0,0,0,,,4,4,4,No preference,$21-$30,yes,3,3,4,4,3,
254803,Female,9,1995,Fourth-year,SAM,Confident,,Earth Week,Green Thumb,Bike Co-op,ENVS Conference,,,0,1,0,1,1,0,0,Effective,,4,5,4,Physical Office,$21-$30,yes,5,2,4,5,5,
254805,Female,10,1996,Third-year,SCS,Confident,Sustainability Week,Earth Week,Green Thumb,Bike Co-op,,,,1,1,0,0,0,0,0,Effective,Interactive activities to get people involved more,3,3,2,No preference,$1-$10,no,,,,,,
254807,Male,5,1994,Third-year,SAL,Confident,Sustainability Week,Earth Week,,Bike Co-op,,,,1,0,0,0,0,0,0,Effective,Interaction with different departments and student organizations,3,3,3,No preference,Not willing at all,no,,,,,,
254810,Female,5,1995,Second-year,SAL,Neutral,Sustainability Week,,Green Thumb,Bike Co-op,ENVS Conference,,,0,0,0,1,0,0,0,Neutrale,,3,3,2,Physical Office,$1-$10,no,,,,,,"I say I am not interested in helping simply because I am stretched thin already with 16 credit hours, 3 jobs, and 4 clubs."
254811,Female,4,1995,First-year ,SAM,Confident,Sustainability Week,Earth Week,,Bike Co-op,,,,0,0,0,0,0,0,0,,,3,4,3,Online Office,$11-$20,no,,,,,,
254812,Male,6,1996,Fourth-year,SCS,Neutral,,,Green Thumb,Bike Co-op,,,,0,0,0,0,0,0,0,,,2,3,1,Online Office,Not willing at all,no,,,,,,
254814,Female,5,1993,First-year ,SCS IDS,Confident,Sustainability Week,,Green Thumb,Bike Co-op,,,,0,0,0,0,0,0,0,,,5,5,5,No preference,$11-$20,yes,4,4,4,4,4,
254816,Female,7,1994,Fourth-year,BUS,Confident,Sustainability Week,,,Bike Co-op,ENVS Conference,,,1,0,0,1,0,0,0,Neutrale,,3,3,2,Online Office,Not willing at all,no,,,,,,
254819,Female,2,1989,First-year ,HSE,Neutral,,,,,,,,0,0,0,0,0,0,0,Neutrale,,2,2,2,Physical Office,$1-$10,no,,,,,,
254820,Female,3,1995,Second-year,BUS,Neutral,Sustainability Week,,,Bike Co-op,ENVS Conference,Recyclemania,,1,0,0,1,0,0,0,Effective,,3,4,3,Online Office,$1-$10,no,,,,,,
254821,Female,6,1997,Fourth-year,IDS,Extremely Confident,Sustainability Week,Earth Week,,Bike Co-op,,,,1,1,0,0,0,0,0,Ineffective,,4,4,1,Physical Office,Not willing at all,yes,,,,,,
254823,Female,3,1997,Third-year,HSE,Not Confident at All,,,,,,,,0,0,0,0,0,0,0,Completely Ineffective,,3,3,2,No preference,$11-$20,no,,,,,,
254825,Female,4,1997,Fourth-year,SAM,Confident,Sustainability Week,Earth Week,Green Thumb,Bike Co-op,ENVS Conference,,,0,0,0,0,0,0,0,,,1,5,1,No preference,Not willing at all,yes,,,,,,
254827,Male,1,1992,First-year ,SAM,Neutral,,,,Bike Co-op,,,,0,0,0,0,0,0,0,Neutrale,,2,2,2,Physical Office,Not willing at all,no,,,,,,
254829,Female,5,1995,First-year ,SAM,Neutral,,,Green Thumb,Bike Co-op,,,,0,0,0,0,0,0,0,,,4,4,4,No preference,$11-$20,no,,,,,,
254831,Female,12,1992,First-year ,SAM,Confident,,,Green Thumb,Bike Co-op,,,,0,0,0,0,0,0,0,,,3,3,3,No preference,$11-$20,yes,2,1,3,3,3,
254833,Female,8,1995,Third-year,HSE,Neutral,Sustainability Week,Earth Week,,Bike Co-op,,,,0,0,0,0,0,0,0,Neutrale,,1,3,1,Physical Office,Not willing at all,no,,,,,,
254834,Female,3,1997,Fourth-year,IDS,Confident,Sustainability Week,Earth Week,Green Thumb,Bike Co-op,ENVS Conference,Recyclemania,,1,1,1,0,1,0,0,Effective,"More support from the university faculty for environmental efforts on campus. I feel that there is a lot of support from students, but that without staff support (including financial support) maintaining projects as students graduate is difficult.",3,5,5,Physical Office,anything above $30,yes,4,2,5,5,4,"I am a senior, so I wouldn't be able to work in the office after I graduate obviously, but I think that having a physical sustainability office is a desperate need on Truman's campus if we are to get more serious about being responsible stewards of the environment."
254835,Female,1,1993,Third-year,HSE,Confident,,Earth Week,Green Thumb,Bike Co-op,,,,0,0,0,0,0,0,0,,,3,4,3,Physical Office,$11-$20,yes,4,4,4,5,4,
254836,Female,8,1994,Third-year,SAL,Neutral,,Earth Week,Green Thumb,,,,,0,0,0,0,0,0,0,,,3,3,3,No preference,$1-$10,no,,,,,,
254839,Female,4,1997,Second-year,SCS SAL,Confident,Sustainability Week,Earth Week,Green Thumb,Bike Co-op,,,,1,1,0,0,0,0,0,Effective,,3,4,3,Physical Office,Not willing at all,no,,,,,,Student Government has a Environmental Sustainability Fee and Environmental Sustainability Fee Accountability Committee that is beginning this semester that already does a lot of what I believe the goals proposed in this survey states. Maybe check them out?
254840,Male,1,1996,Fourth-year,SAL,Confident,Sustainability Week,Earth Week,Green Thumb,Bike Co-op,ENVS Conference,,,1,0,0,0,0,0,0,Neutrale,,3,4,3,Physical Office,anything above $30,yes,3,3,4,4,4,
254841,Female,12,1993,Fourth-year,SAL,Neutral,Sustainability Week,Earth Week,Green Thumb,Bike Co-op,,,,1,0,0,0,0,0,0,Completely Effective,,1,3,1,No preference,$1-$10,no,,,,,,
254842,Female,12,1994,Third-year,SAM,Neutral,Sustainability Week,,,,,,,0,0,0,0,0,0,0,,,2,3,2,No preference,Not willing at all,no,,,,,,
254846,Female,7,1983,Second-year,HSE SCS,Confident,,Earth Week,Green Thumb,Bike Co-op,,,,0,0,0,0,0,0,0,,Service,1,3,1,Physical Office,Not willing at all,no,,,,,,
254847,Other/ prefer not to say,9,1994,First-year ,SAL,Confident,,,Green Thumb,,,,,0,0,0,0,0,0,0,Ineffective,,4,3,3,Online Office,Not willing at all,yes,4,1,3,3,4,
254848,Other/ prefer not to say,9,1996,First-year ,SAL,Not Confident at All,Sustainability Week,Earth Week,Green Thumb,,,,ENV Buddies,0,0,0,0,0,0,0,,not sure what we need,4,3,2,Online Office,$1-$10,no,,,,,,I have no comments
254850,Female,11,1993,Second-year,SAL,Neutral,Sustainability Week,,,Bike Co-op,,,,0,0,0,0,0,0,0,,,3,3,3,Online Office,$11-$20,no,,,,,,
254851,Male,8,1996,Third-year,HSE,Confident,Sustainability Week,Earth Week,Green Thumb,Bike Co-op,ENVS Conference,,,0,1,0,0,0,0,0,Neutrale,activities that link sustainability and public health,4,4,1,Physical Office,anything above $30,no,,,,,,
254852,Female,3,1993,First-year ,SAM,Neutral,,,,,,,,0,0,0,0,0,0,0,,,3,3,3,Physical Office,$1-$10,no,,,,,,
254855,Male,1,1995,Second-year,HSE,Neutral,,Earth Week,Green Thumb,,,,,0,0,0,0,0,0,0,,,3,3,3,No preference,$1-$10,no,,,,,,
254856,Male,4,1988,First-year ,SAM,Confident,,,,,,,,0,0,0,0,0,0,0,,,4,4,4,Physical Office,$21-$30,yes,4,4,4,4,3,
254869,Male,3,1988,First-year ,HSE,Confident,Sustainability Week,,Green Thumb,Bike Co-op,,,,0,0,0,0,0,0,0,,,2,3,3,Physical Office,$1-$10,no,,,,,,
254872,Female,1,1993,Second-year,HSE,Confident,Sustainability Week,Earth Week,Green Thumb,Bike Co-op,ENVS Conference,Recyclemania,,0,0,0,0,0,0,0,,,1,3,1,No preference,Not willing at all,no,,,,,,
254876,Female,10,1996,First-year ,HSE SAM,Confident,Sustainability Week,,Green Thumb,,,,,0,0,0,0,0,0,0,,,2,4,4,Physical Office,$1-$10,yes,4,1,4,4,4,
254879,Male,7,1996,First-year ,SAM SAL,Confident,,,Green Thumb,Bike Co-op,,,,0,0,0,0,0,0,0,,,4,4,4,Physical Office,anything above $30,yes,3,2,5,4,2,
254881,Female,7,1992,First-year ,SAL,Neutral,,,Green Thumb,Bike Co-op,,,ENV Buddies,0,0,0,0,0,0,0,,,3,4,3,No preference,Not willing at all,no,,,,,,
254884,Female,1,1996,First-year ,SCS,Confident,,,,,,,,0,0,0,0,0,0,0,,,3,3,2,Online Office,$11-$20,no,,,,,,
254887,Female,11,1984,Fourth-year,BUS,Slightly Confident,Sustainability Week,Earth Week,,Bike Co-op,,,,0,0,0,0,0,0,0,,Growing trees,1,1,1,Physical Office,Not willing at all,no,,,,,,
254892,Female,9,1995,First-year ,SAM,Neutral,Sustainability Week,Earth Week,,,,,,0,0,0,0,0,0,0,,,2,2,1,No preference,Not willing at all,no,,,,,,
254893,Male,7,1993,Fourth-year,SCS,Confident,Sustainability Week,Earth Week,Green Thumb,Bike Co-op,ENVS Conference,,,1,1,0,0,1,0,0,Completely Effective,More recycling awareness.,4,5,3,Physical Office,$21-$30,no,,,,,,
254900,Female,5,1994,First-year ,SAM,Confident,Sustainability Week,Earth Week,Green Thumb,Bike Co-op,,,,0,0,0,0,0,0,0,,,3,4,3,Online Office,$11-$20,no,,,,,,
254905,Male,7,1998,Third-year,SAM,Extremely Confident,Sustainability Week,Earth Week,,Bike Co-op,ENVS Conference,Recyclemania,,0,0,0,0,0,0,0,Neutrale,,1,1,1,Online Office,Not willing at all,no,,,,,,
254910,Female,12,1995,Second-year,SCS,Slightly Confident,,,,Bike Co-op,,,,0,0,0,0,0,0,0,,,1,1,1,No preference,$1-$10,no,,,,,,
254914,Female,6,1995,Second-year,HSE,Extremely Confident,Sustainability Week,Earth Week,Green Thumb,Bike Co-op,,,,1,0,0,0,0,0,0,Completely Effective,,4,3,5,Physical Office,$21-$30,yes,5,3,4,5,5,
254915,Female,2,1997,Third-year,SCS,Confident,Sustainability Week,Earth Week,,Bike Co-op,ENVS Conference,,,0,0,0,0,0,0,0,,,4,4,4,No preference,$1-$10,no,,,,,,
254924,Female,6,1995,Third-year,SAM,Confident,Sustainability Week,,,Bike Co-op,ENVS Conference,,,0,0,0,0,1,0,0,Neutrale,,4,5,2,No preference,$1-$10,no,,,,,,
254926,Female,12,1997,First-year ,SAM,Neutral,,,Green Thumb,,,,,0,0,0,0,0,0,0,,,2,4,3,No preference,$11-$20,yes,1,1,3,3,4,
254929,Female,4,1996,Second-year,SAM,Neutral,Sustainability Week,Earth Week,Green Thumb,,,Recyclemania,,0,0,0,0,0,0,0,,,2,4,2,Online Office,$1-$10,no,,,,,,
254935,Female,11,1995,First-year ,SAM,Confident,Sustainability Week,Earth Week,Green Thumb,Bike Co-op,ENVS Conference,,,0,0,0,0,0,0,0,,,3,4,4,Physical Office,$21-$30,yes,4,2,4,4,4,
254937,Female,1,1997,First-year ,SAM,Slightly Confident,,,,,,,,0,0,0,0,0,0,0,,,2,2,2,Physical Office,$1-$10,no,,,,,,
254940,Female,4,1994,First-year ,HSE,Neutral,,,,,,,,0,0,0,0,0,0,0,,,2,2,1,No preference,$1-$10,no,,,,,,
254941,Female,10,1992,First-year ,HSE,Not Confident at All,,,,Bike Co-op,,,,0,0,0,0,0,0,0,,,3,3,4,Physical Office,$21-$30,no,,,,,,
254942,Male,4,1995,First-year ,HSE,Slightly Confident,,,Green Thumb,,,,,0,0,0,0,0,0,0,,social,5,5,1,Physical Office,$1-$10,no,,,,,,
254944,Female,5,1997,First-year ,BUS,Slightly Confident,,,,,,,,0,0,0,0,0,0,0,,,2,2,3,No preference,$1-$10,no,,,,,,
254949,Female,2,1992,First-year ,HSE SAL,Confident,,,,Bike Co-op,,,,0,0,0,0,0,0,0,,,2,5,3,Physical Office,$11-$20,yes,3,2,5,5,5,Getting the word out is really important! I also believe that students need to understand why environmental issues effect them and the planet.
254953,Female,5,1993,First-year ,SCS SAL,Confident,,Earth Week,Green Thumb,,,,,0,0,0,0,0,0,0,,?,3,3,4,Online Office,$1-$10,no,,,,,,
254955,Female,12,1992,Second-year,SAL,Neutral,Sustainability Week,Earth Week,Green Thumb,Bike Co-op,,,,0,1,0,0,0,0,0,Effective,,5,5,5,No preference,$1-$10,yes,3,3,3,3,4,
254966,Male,9,1995,Third-year,BUS,Neutral,Sustainability Week,Earth Week,,,ENVS Conference,,,0,0,0,0,0,0,0,,,3,3,3,Physical Office,$1-$10,no,,,,,,
254967,Female,11,1993,Third-year,SCS,Neutral,,Earth Week,,,,,,0,0,0,0,0,0,0,Completely Ineffective,,4,4,4,Physical Office,$1-$10,yes,4,1,4,4,4,
254973,Male,10,1997,Fourth-year,SCS,Neutral,,,,Bike Co-op,,,,0,0,0,0,0,0,0,,All,4,5,4,Physical Office,$1-$10,yes,3,2,3,4,4,
254975,Male,12,1998,Third-year,SCS,Confident,Sustainability Week,Earth Week,Green Thumb,Bike Co-op,,,,0,0,0,0,0,0,0,,,3,3,1,No preference,$1-$10,no,,,,,,
254981,Female,3,1998,First-year ,BUS,Confident,Sustainability Week,,Green Thumb,,,,,0,0,0,0,0,0,0,,,2,3,3,Physical Office,$1-$10,no,,,,,,
254983,Female,8,1994,Fourth-year,HSE,Confident,Sustainability Week,,Green Thumb,Bike Co-op,,,,0,0,1,1,0,0,0,Effective,recycling paper event at end of semester when students trash all of their stuff,2,3,4,Physical Office,$1-$10,no,,,,,,
254993,Female,8,1996,First-year ,HSE,Not Confident at All,,,,Bike Co-op,,,,0,0,0,0,0,0,0,,It would be really cool if there were an event where people could pay a small fee and get to pot a small plant for their dorm or something!,1,1,1,Online Office,Not willing at all,no,,,,,,"I feel like this survey looks really negative. I really have no problems with this and I think it would be a great group and I hope it comes together! My reservations are more for personal reasons than anything else-while I think it's important to care for the environment and such it isn't really among my big interests, and I think I would like to see something like UCS improved first. Best of luck!"
254994,Female,6,1995,Fourth-year,SCS,Confident,,,,,,Recyclemania,,0,0,0,0,0,1,0,Neutrale,,1,5,1,Online Office,$1-$10,no,,,,,,
254995,Female,9,1995,more than 4 years at Truman,SAL,Extremely Confident,Sustainability Week,Earth Week,Green Thumb,Bike Co-op,ENVS Conference,,,1,1,0,1,1,0,0,Effective,"Campaigns to reduce waste, encourage others to reuse, something that invites everyone, not just people that all ready care (easier said than done I know)",4,5,4,Physical Office,$1-$10,yes,4,1,4,4,4,"The idea sounds very vague at this point, I am not sure what it entails and so I am hesitant to put ""extremely interested"" down for anything."
254999,Female,1,1995,First-year ,SAM,Neutral,,,,,,,,0,0,0,0,0,0,0,,,3,3,3,No preference,$11-$20,no,,,,,,
255000,Female,3,1993,Second-year,SAM,Slightly Confident,,,,,,,,0,0,0,0,0,0,0,,An organization that brainstorms complex and creative ideas to make the use of power more efficient everywhere in the world.,2,4,3,Physical Office,$11-$20,yes,1,3,4,5,3,
255006,Male,12,1997,Second-year,SCS,Extremely Confident,,Earth Week,Green Thumb,Bike Co-op,,,,0,0,0,1,0,0,0,Completely Effective,"recycling awarenes, and maybe green roofs",4,5,5,Physical Office,$21-$30,yes,4,4,3,5,5,can work with Truman investment group and the truman entrepeneurs cub or whoever they are for some fundraising ideas
255009,Female,9,1986,Third-year,HSE,Neutral,Sustainability Week,Earth Week,Green Thumb,Bike Co-op,ENVS Conference,,ENV Buddies,0,0,0,0,1,0,1,Effective,I'm not sure,1,4,2,Physical Office,Not willing at all,yes,3,1,3,3,3,
255024,Female,10,1992,Second-year,IDS,Neutral,Sustainability Week,Earth Week,Green Thumb,Bike Co-op,,,,1,1,1,0,0,0,0,Effective,More earth week and green thumb project activities,4,3,4,Physical Office,$1-$10,yes,4,3,4,3,4,
255030,Male,3,1995,Third-year,HSE,Confident,,,,Bike Co-op,ENVS Conference,,,0,0,0,0,0,0,0,,,3,3,3,No preference,Not willing at all,no,,,,,,
255032,Male,12,1994,Second-year,HSE,Neutral,Sustainability Week,,,Bike Co-op,,,,0,0,0,0,0,0,0,,,3,3,3,Physical Office,$1-$10,no,,,,,,"Going by years at Truman may not be the right way to do this.  I am not interested in working in the office because by credits, I am a senior graduating in the spring."
255033,Female,11,1998,First-year ,SAL,Confident,Sustainability Week,Earth Week,Green Thumb,Bike Co-op,ENVS Conference,,,0,0,0,0,0,0,0,,,2,2,2,Online Office,$11-$20,no,,,,,,
255036,Female,7,1995,Second-year,SAL,Confident,,Earth Week,,Bike Co-op,,,,0,0,0,0,0,0,0,,,2,4,3,Physical Office,$1-$10,yes,3,3,4,4,3,
255039,Female,5,1995,Second-year,HSE,Confident,Sustainability Week,Earth Week,Green Thumb,Bike Co-op,,,,0,0,0,1,0,0,0,Neutrale,,5,5,5,Online Office,$1-$10,yes,5,3,4,4,4,
255040,Female,5,1994,Fourth-year,SAL,Neutral,Sustainability Week,Earth Week,,Bike Co-op,ENVS Conference,,,0,0,0,0,0,0,0,Neutrale,Recycling,2,2,2,Online Office,$11-$20,no,,,,,,
255042,Male,10,1995,Second-year,SCS,Slightly Confident,Sustainability Week,,,,,,,0,0,0,0,0,0,0,,,1,1,1,No preference,Not willing at all,no,,,,,,
255047,Female,4,1994,Fourth-year,SAM,Neutral,,,Green Thumb,Bike Co-op,,,,0,0,0,1,0,0,0,Effective,,2,3,2,No preference,$1-$10,no,,,,,,
255074,Female,8,1997,Third-year,SCS,Confident,,,,,,,,0,0,0,0,0,0,0,,,3,3,4,Physical Office,$11-$20,yes,4,3,4,4,4,
255083,Female,7,1997,Second-year,HSE,Neutral,Sustainability Week,Earth Week,,,,,,0,0,0,0,0,0,0,,,3,3,3,Online Office,Not willing at all,no,,,,,,
255091,Female,10,1994,Third-year,HSE,Neutral,Sustainability Week,Earth Week,Green Thumb,Bike Co-op,,,,0,0,0,0,0,0,0,,,5,5,5,No preference,Not willing at all,yes,5,3,3,5,5,
